class_of_erotismo,class_of_tensione,class_of_impegno,class_of_ritmo,class_of_humor,class_of_time,class_of_year,class_of_voto,genere,paese,cluster
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
low_rating,good_rating,good_rating,nice_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,3
low_rating,good_rating,null,nice_rating,null,durataMedia,nuovo,good_rating,azione,usa,2
low_rating,nice_rating,good_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,sentimentale,usa,1
null,top_rating,top_rating,good_rating,null,durataMedia,nuovo,good_rating,thriller,italia,7
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,thriller,gran_bretagna,4
null,null,null,top_rating,top_rating,durataMedia,piu vecchio,good_rating,commedia,usa,3
low_rating,low_rating,null,nice_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,usa,0
low_rating,good_rating,low_rating,good_rating,low_rating,durataMedia,vecchio,good_rating,drammatico,usa,4
null,good_rating,nice_rating,nice_rating,low_rating,cortometraggio,nuovo,nice_rating,documentario,italia,7
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,5
null,null,null,good_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,italia,0
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,4
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,5
null,good_rating,good_rating,low_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,8
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,poliziesco,usa,5
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,0
low_rating,top_rating,nice_rating,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,7
low_rating,low_rating,good_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,8
low_rating,nice_rating,good_rating,good_rating,low_rating,durataMedia,nuovo,nice_rating,grottesco,germania,1
low_rating,good_rating,good_rating,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,colombia,1
null,low_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,5
good_rating,top_rating,good_rating,nice_rating,null,durataMedia,nuovo,good_rating,thriller,usa,6
null,top_rating,top_rating,nice_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,7
low_rating,good_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,poliziesco,germania,4
null,null,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
nice_rating,null,good_rating,good_rating,good_rating,durataMedia,nuovo,nice_rating,commedia,germania,6
null,good_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,horror,usa,2
null,null,null,good_rating,low_rating,durataMedia,nuovo,low_rating,commedia,usa,5
low_rating,good_rating,low_rating,good_rating,null,DurataLunga,nuovo,good_rating,thriller,usa,4
null,good_rating,low_rating,good_rating,null,DurataLunga,nuovo,good_rating,drammatico,italia,2
low_rating,nice_rating,nice_rating,good_rating,low_rating,durataMedia,vecchio,nice_rating,drammatico,francia,7
null,null,null,good_rating,low_rating,durataMedia,vecchio,good_rating,commedia,usa,5
null,null,null,nice_rating,nice_rating,durataMedia,vecchio,nice_rating,commedia,usa,0
null,low_rating,null,nice_rating,nice_rating,durataMedia,piu vecchio,nice_rating,commedia,usa,0
null,low_rating,null,low_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,5
null,null,null,nice_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,italia,5
low_rating,low_rating,low_rating,nice_rating,nice_rating,durataMedia,nuovo,nice_rating,commedia,francia,3
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,avventura,spagna,2
low_rating,top_rating,top_rating,good_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,italia,7
low_rating,low_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,8
null,good_rating,good_rating,nice_rating,good_rating,durataMedia,nuovo,good_rating,commedia,germania,1
low_rating,low_rating,null,low_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,4
null,low_rating,good_rating,null,null,durataMedia,nuovo,good_rating,drammatico,usa,8
null,low_rating,null,nice_rating,null,durataMedia,nuovo,good_rating,azione,usa,2
null,low_rating,null,good_rating,null,durataMedia,nuovo,low_rating,western,italia,5
null,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,western,italia,5
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,western,italia,0
low_rating,low_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,4
null,good_rating,low_rating,nice_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,2
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,0
null,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,azione,usa,2
null,low_rating,good_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,italia,8
low_rating,low_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,mitologico,italia,4
low_rating,nice_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,usa,2
good_rating,good_rating,low_rating,nice_rating,top_rating,durataMedia,nuovo,good_rating,commedia,usa,3
low_rating,nice_rating,good_rating,nice_rating,low_rating,durataMedia,vecchio,good_rating,drammatico,francia,7
good_rating,good_rating,nice_rating,good_rating,low_rating,DurataLunga,nuovo,nice_rating,drammatico,portogallo,4
null,low_rating,low_rating,low_rating,null,DurataLunga,nuovo,good_rating,drammatico,usa,5
good_rating,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,4
null,nice_rating,nice_rating,good_rating,null,cortometraggio,piu vecchio,top_rating,horror,usa,7
low_rating,nice_rating,null,nice_rating,good_rating,durataMedia,nuovo,nice_rating,thriller,usa,1
low_rating,nice_rating,good_rating,nice_rating,low_rating,durataMedia,vecchio,nice_rating,noir,usa,1
low_rating,low_rating,low_rating,nice_rating,null,durataMedia,nuovo,good_rating,poliziesco,usa,4
low_rating,good_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,usa,4
low_rating,good_rating,good_rating,good_rating,null,durataMedia,vecchio,good_rating,biblico,italia,8
low_rating,nice_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,horror,usa,1
null,low_rating,nice_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,8
low_rating,low_rating,low_rating,nice_rating,good_rating,durataMedia,nuovo,good_rating,commedia,gran_bretagna,0
null,good_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,usa,2
null,null,null,low_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,good_rating,null,low_rating,null,cortometraggio,piu vecchio,good_rating,thriller,usa,5
null,low_rating,low_rating,nice_rating,nice_rating,durataMedia,nuovo,nice_rating,commedia,usa,3
low_rating,good_rating,null,good_rating,low_rating,DurataLunga,vecchio,good_rating,drammatico,usa,4
null,nice_rating,top_rating,good_rating,low_rating,DurataLunga,nuovo,good_rating,drammatico,usa,7
null,nice_rating,nice_rating,top_rating,null,durataMedia,nuovo,good_rating,poliziesco,italia,7
good_rating,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,italia,4
null,good_rating,null,good_rating,nice_rating,durataMedia,nuovo,nice_rating,commedia,canada,1
null,nice_rating,null,nice_rating,null,durataMedia,nuovo,good_rating,azione,usa,2
null,good_rating,null,nice_rating,null,durataMedia,nuovo,good_rating,poliziesco,italia,2
low_rating,null,null,good_rating,low_rating,durataMedia,nuovo,low_rating,commedia,italia,4
null,nice_rating,nice_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,7
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,5
null,nice_rating,good_rating,nice_rating,null,DurataLunga,vecchio,nice_rating,drammatico,usa,7
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,horror,italia,2
null,nice_rating,nice_rating,good_rating,null,DurataLunga,nuovo,nice_rating,biografico,belgio,7
null,nice_rating,good_rating,nice_rating,null,durataMedia,nuovo,good_rating,spionaggio,usa,7
good_rating,nice_rating,nice_rating,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,gran_bretagna,7
low_rating,low_rating,null,good_rating,good_rating,DurataLunga,nuovo,good_rating,commedia,italia,0
null,good_rating,low_rating,nice_rating,good_rating,DurataLunga,nuovo,good_rating,fantasy,usa,1
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,5
nice_rating,good_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,thriller,usa,4
null,good_rating,good_rating,good_rating,null,durataMedia,vecchio,nice_rating,drammatico,italia,8
null,low_rating,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,0
null,good_rating,nice_rating,good_rating,null,DurataLunga,vecchio,good_rating,drammatico,francia,8
null,good_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,8
null,nice_rating,null,low_rating,null,durataMedia,vecchio,good_rating,drammatico,italia,2
null,nice_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,fantasy,gran_bretagna,7
null,good_rating,good_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,8
low_rating,nice_rating,null,top_rating,top_rating,durataMedia,nuovo,good_rating,azione,usa,3
null,good_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,western,italia,0
good_rating,top_rating,top_rating,nice_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,francia,7
null,good_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,mitologico,italia,5
low_rating,nice_rating,nice_rating,nice_rating,null,cortometraggio,piu vecchio,nice_rating,drammatico,usa,7
nice_rating,low_rating,null,low_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,4
null,low_rating,null,low_rating,null,durataMedia,nuovo,low_rating,thriller,italia,5
null,low_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,western,italia,0
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,western,italia,0
null,null,null,nice_rating,top_rating,cortometraggio,piu vecchio,nice_rating,commedia,usa,3
null,nice_rating,null,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,2
null,good_rating,null,nice_rating,nice_rating,DurataLunga,vecchio,good_rating,commedia,usa,0
low_rating,null,null,good_rating,low_rating,durataMedia,nuovo,low_rating,commedia,italia,4
null,good_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,avventura,usa,2
nice_rating,low_rating,low_rating,good_rating,good_rating,DurataLunga,nuovo,good_rating,commedia,italia,6
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,2
null,good_rating,good_rating,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,usa,8
null,null,null,low_rating,low_rating,durataMedia,nuovo,low_rating,commedia,italia,5
good_rating,nice_rating,null,good_rating,null,DurataLunga,nuovo,good_rating,thriller,usa,4
low_rating,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,italia,4
low_rating,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,italia,4
low_rating,low_rating,good_rating,low_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,italia,8
good_rating,good_rating,low_rating,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,6
low_rating,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,0
low_rating,low_rating,null,nice_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,nice_rating,good_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,7
null,low_rating,nice_rating,good_rating,low_rating,durataMedia,vecchio,good_rating,drammatico,usa,8
null,null,null,good_rating,low_rating,durataMedia,vecchio,good_rating,commedia,usa,5
null,good_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,fantasy,usa,2
null,good_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,grottesco,argentina,1
low_rating,low_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,italia,4
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,low_rating,commedia,italia,5
low_rating,nice_rating,low_rating,nice_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,italia,1
null,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,5
low_rating,nice_rating,null,good_rating,low_rating,durataMedia,nuovo,nice_rating,thriller,usa,1
null,nice_rating,super_rating,nice_rating,low_rating,durataMedia,piu vecchio,nice_rating,storico,urss,7
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
low_rating,null,null,low_rating,low_rating,durataMedia,nuovo,low_rating,grottesco,italia,4
good_rating,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,grottesco,italia,4
low_rating,low_rating,good_rating,good_rating,good_rating,durataMedia,vecchio,nice_rating,grottesco,italia,0
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,nice_rating,thriller,usa,4
null,low_rating,null,nice_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,usa,3
good_rating,nice_rating,good_rating,nice_rating,low_rating,durataMedia,nuovo,good_rating,horror,usa,6
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,western,italia,5
null,low_rating,null,good_rating,null,durataMedia,vecchio,low_rating,western,italia,5
nice_rating,nice_rating,top_rating,low_rating,good_rating,durataMedia,nuovo,nice_rating,drammatico,germania,6
low_rating,top_rating,good_rating,nice_rating,good_rating,durataMedia,nuovo,good_rating,horror,usa,1
null,null,null,nice_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,usa,0
null,low_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,5
good_rating,good_rating,nice_rating,nice_rating,good_rating,DurataLunga,nuovo,good_rating,drammatico,usa,6
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,4
null,null,null,nice_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,usa,0
low_rating,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,mitologico,usa,4
low_rating,top_rating,good_rating,nice_rating,null,durataMedia,vecchio,nice_rating,drammatico,italia,7
null,null,null,good_rating,null,durataMedia,nuovo,low_rating,commedia,usa,5
low_rating,good_rating,null,nice_rating,low_rating,DurataLunga,nuovo,nice_rating,commedia,usa,1
null,nice_rating,good_rating,good_rating,null,durataMedia,vecchio,nice_rating,drammatico,usa,7
null,nice_rating,null,good_rating,null,durataMedia,nuovo,good_rating,fantasy,gran_bretagna,2
null,nice_rating,good_rating,nice_rating,null,DurataLunga,nuovo,nice_rating,guerra,giappone,2
null,nice_rating,low_rating,nice_rating,null,durataMedia,piu vecchio,nice_rating,drammatico,usa,2
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,5
null,good_rating,nice_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,italia,8
null,good_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,5
null,nice_rating,top_rating,nice_rating,null,durataMedia,piu vecchio,nice_rating,drammatico,urss,7
null,low_rating,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,0
null,top_rating,nice_rating,top_rating,good_rating,durataMedia,nuovo,good_rating,horror,usa,3
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,2
low_rating,good_rating,null,low_rating,null,durataMedia,nuovo,low_rating,thriller,usa,4
good_rating,nice_rating,nice_rating,good_rating,null,durataMedia,nuovo,nice_rating,melo,francia,7
null,good_rating,nice_rating,good_rating,low_rating,durataMedia,vecchio,nice_rating,drammatico,usa,8
nice_rating,good_rating,good_rating,low_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,italia,6
low_rating,low_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,francia,4
null,good_rating,nice_rating,low_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,8
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,0
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,2
low_rating,null,low_rating,good_rating,nice_rating,durataMedia,vecchio,nice_rating,commedia,francia,0
null,good_rating,good_rating,top_rating,top_rating,cortometraggio,piu vecchio,top_rating,commedia,usa,3
low_rating,null,good_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,8
null,good_rating,null,good_rating,null,durataMedia,vecchio,nice_rating,drammatico,usa,2
good_rating,nice_rating,nice_rating,nice_rating,good_rating,durataMedia,nuovo,good_rating,thriller,usa,6
low_rating,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,musicale,usa,4
low_rating,top_rating,top_rating,nice_rating,low_rating,durataMedia,vecchio,nice_rating,avventura,usa,7
low_rating,nice_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,horror,usa,1
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,5
null,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,azione,usa,2
null,nice_rating,low_rating,nice_rating,null,durataMedia,vecchio,nice_rating,thriller,usa,1
low_rating,null,null,nice_rating,nice_rating,durataMedia,nuovo,nice_rating,commedia,usa,0
good_rating,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,italia,4
low_rating,low_rating,null,good_rating,low_rating,durataMedia,nuovo,low_rating,commedia,italia,4
low_rating,good_rating,null,good_rating,low_rating,durataMedia,vecchio,low_rating,commedia,francia,4
good_rating,good_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,4
low_rating,good_rating,good_rating,good_rating,low_rating,durataMedia,vecchio,good_rating,commedia,italia,8
nice_rating,low_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,low_rating,thriller,italia,6
nice_rating,nice_rating,nice_rating,top_rating,good_rating,durataMedia,vecchio,nice_rating,drammatico,usa,6
null,low_rating,null,good_rating,null,durataMedia,nuovo,low_rating,drammatico,italia,2
low_rating,good_rating,null,nice_rating,good_rating,durataMedia,vecchio,nice_rating,avventura,usa,1
null,nice_rating,good_rating,nice_rating,null,DurataLunga,piu vecchio,nice_rating,drammatico,usa,7
null,good_rating,null,good_rating,null,DurataLunga,vecchio,nice_rating,biografico,usa,2
null,null,low_rating,low_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,0
null,good_rating,good_rating,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,usa,7
null,good_rating,good_rating,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,usa,8
null,nice_rating,low_rating,good_rating,low_rating,durataMedia,vecchio,nice_rating,commedia,usa,2
good_rating,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,francia,4
low_rating,nice_rating,low_rating,nice_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,gran_bretagna,1
good_rating,good_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,gran_bretagna,4
null,null,good_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,gran_bretagna,8
good_rating,top_rating,top_rating,top_rating,nice_rating,DurataLunga,vecchio,nice_rating,commedia,italia,6
low_rating,low_rating,low_rating,nice_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,usa,3
null,good_rating,good_rating,low_rating,null,durataMedia,nuovo,nice_rating,drammatico,usa,8
null,good_rating,null,good_rating,null,DurataLunga,vecchio,good_rating,guerra,usa,5
good_rating,nice_rating,good_rating,top_rating,nice_rating,durataMedia,nuovo,good_rating,avventura,usa,6
null,good_rating,nice_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,7
null,good_rating,good_rating,good_rating,null,durataMedia,vecchio,good_rating,western,usa,8
null,null,nice_rating,good_rating,top_rating,durataMedia,vecchio,nice_rating,commedia,italia,3
null,nice_rating,null,good_rating,null,DurataLunga,vecchio,nice_rating,western,usa,2
null,good_rating,low_rating,good_rating,null,DurataLunga,vecchio,good_rating,drammatico,usa,2
null,nice_rating,null,low_rating,low_rating,durataMedia,nuovo,good_rating,fantasy,usa,2
low_rating,good_rating,good_rating,good_rating,null,durataMedia,vecchio,good_rating,western,usa,8
null,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
low_rating,good_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,usa,4
low_rating,low_rating,null,good_rating,low_rating,durataMedia,nuovo,low_rating,commedia,italia,4
null,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,azione,italia,0
null,low_rating,null,good_rating,null,durataMedia,vecchio,low_rating,avventura,italia,2
null,nice_rating,null,nice_rating,null,durataMedia,nuovo,good_rating,azione,usa,2
null,null,null,nice_rating,nice_rating,durataMedia,piu vecchio,nice_rating,commedia,usa,0
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,drammatico,italia,5
null,low_rating,nice_rating,nice_rating,good_rating,DurataLunga,vecchio,nice_rating,commedia,usa,3
good_rating,low_rating,good_rating,good_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,italia,6
null,good_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,7
top_rating,nice_rating,nice_rating,nice_rating,top_rating,durataMedia,nuovo,good_rating,commedia,italia,6
nice_rating,good_rating,good_rating,nice_rating,top_rating,DurataLunga,nuovo,nice_rating,commedia,usa,6
good_rating,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,4
null,nice_rating,nice_rating,good_rating,null,durataMedia,vecchio,nice_rating,fantasy,gran_bretagna,7
low_rating,null,low_rating,good_rating,good_rating,durataMedia,nuovo,good_rating,sentimentale,usa,0
low_rating,low_rating,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,western,usa,5
low_rating,low_rating,low_rating,low_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,usa,4
null,nice_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,nice_rating,noir,usa,1
null,nice_rating,good_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,usa,7
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,horror,usa,4
low_rating,low_rating,null,low_rating,null,durataMedia,nuovo,low_rating,azione,usa,4
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,western,usa,5
null,good_rating,null,good_rating,null,durataMedia,vecchio,nice_rating,biografico,usa,2
low_rating,null,null,nice_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,usa,0
null,null,null,nice_rating,nice_rating,durataMedia,vecchio,nice_rating,commedia,usa,0
null,good_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,avventura,usa,2
good_rating,top_rating,low_rating,nice_rating,low_rating,durataMedia,vecchio,nice_rating,drammatico,italia,6
low_rating,nice_rating,top_rating,nice_rating,null,durataMedia,vecchio,nice_rating,drammatico,francia,7
nice_rating,good_rating,good_rating,good_rating,good_rating,durataMedia,vecchio,nice_rating,drammatico,usa,6
nice_rating,good_rating,good_rating,good_rating,low_rating,durataMedia,vecchio,nice_rating,drammatico,francia,6
null,nice_rating,null,nice_rating,low_rating,DurataLunga,vecchio,nice_rating,western,usa,1
low_rating,good_rating,low_rating,nice_rating,good_rating,DurataLunga,nuovo,good_rating,spionaggio,gran_bretagna,0
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,mitologico,italia,2
null,nice_rating,null,nice_rating,low_rating,durataMedia,nuovo,nice_rating,azione,usa,2
null,good_rating,low_rating,good_rating,null,DurataLunga,vecchio,good_rating,avventura,gran_bretagna,2
null,null,null,good_rating,low_rating,durataMedia,vecchio,low_rating,sentimentale,usa,0
null,good_rating,low_rating,nice_rating,low_rating,durataMedia,nuovo,good_rating,horror,usa,1
low_rating,good_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,horror,usa,4
null,nice_rating,null,nice_rating,null,durataMedia,nuovo,good_rating,thriller,usa,1
null,low_rating,null,low_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,5
null,good_rating,null,nice_rating,low_rating,durataMedia,nuovo,good_rating,azione,usa,1
good_rating,nice_rating,nice_rating,nice_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,francia,6
null,good_rating,low_rating,good_rating,good_rating,cortometraggio,piu vecchio,good_rating,commedia,italia,1
null,good_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,avventura,italia,2
null,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,poliziesco,italia,5
null,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,italia,5
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,azione,italia,2
null,low_rating,null,good_rating,null,DurataLunga,vecchio,good_rating,avventura,gran_bretagna,2
null,nice_rating,low_rating,nice_rating,null,durataMedia,vecchio,good_rating,western,usa,1
null,nice_rating,nice_rating,nice_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,7
null,nice_rating,good_rating,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,usa,7
null,low_rating,null,good_rating,null,durataMedia,nuovo,low_rating,western,italia,5
low_rating,good_rating,low_rating,good_rating,good_rating,durataMedia,vecchio,nice_rating,drammatico,gran_bretagna,1
null,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,5
null,null,null,good_rating,good_rating,durataMedia,nuovo,low_rating,commedia,francia,0
null,null,null,good_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,usa,0
null,nice_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,poliziesco,usa,2
null,good_rating,low_rating,good_rating,null,DurataLunga,vecchio,good_rating,avventura,usa,2
null,low_rating,good_rating,nice_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,3
null,top_rating,nice_rating,top_rating,low_rating,DurataLunga,nuovo,nice_rating,guerra,germania_ovest,7
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,fantasy,usa,2
null,good_rating,low_rating,good_rating,null,DurataLunga,vecchio,good_rating,guerra,usa,5
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,avventura,usa,2
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,guerra,usa,2
null,low_rating,nice_rating,good_rating,low_rating,durataMedia,vecchio,nice_rating,drammatico,usa,8
nice_rating,nice_rating,good_rating,nice_rating,nice_rating,durataMedia,nuovo,good_rating,azione,usa,6
null,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,western,usa,5
good_rating,good_rating,nice_rating,good_rating,low_rating,durataMedia,vecchio,nice_rating,drammatico,usa,6
low_rating,low_rating,low_rating,nice_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,italia,3
null,null,low_rating,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,0
low_rating,good_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,storico,italia,4
null,good_rating,null,good_rating,null,DurataLunga,nuovo,good_rating,thriller,francia,5
null,low_rating,null,nice_rating,null,durataMedia,nuovo,low_rating,avventura,usa,2
null,good_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,western,usa,0
null,nice_rating,null,good_rating,null,DurataLunga,nuovo,good_rating,thriller,germania,2
null,top_rating,null,top_rating,low_rating,durataMedia,nuovo,good_rating,western,usa,1
null,low_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,gran_bretagna,5
low_rating,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,avventura,usa,4
