class_of_erotismo,class_of_tensione,class_of_impegno,class_of_ritmo,class_of_humor,class_of_time,class_of_year,class_of_voto,genere,paese,cluster
low_rating,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
low_rating,low_rating,low_rating,nice_rating,top_rating,durataMedia,nuovo,nice_rating,commedia,usa,3
null,null,null,good_rating,low_rating,durataMedia,nuovo,low_rating,commedia,usa,5
null,low_rating,good_rating,top_rating,top_rating,durataMedia,nuovo,good_rating,commedia,usa,3
null,nice_rating,good_rating,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,francia,7
null,nice_rating,nice_rating,good_rating,null,durataMedia,nuovo,nice_rating,thriller,francia,7
null,good_rating,good_rating,good_rating,null,durataMedia,vecchio,good_rating,spionaggio,usa,8
null,low_rating,null,nice_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
good_rating,good_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,poliziesco,usa,4
null,null,null,nice_rating,nice_rating,durataMedia,vecchio,nice_rating,commedia,usa,0
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,low_rating,commedia,usa,5
null,low_rating,good_rating,good_rating,null,durataMedia,vecchio,good_rating,guerra,italia,8
low_rating,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,avventura,italia,4
good_rating,low_rating,null,low_rating,null,durataMedia,vecchio,good_rating,avventura,italia,4
top_rating,nice_rating,top_rating,good_rating,good_rating,cortometraggio,piu vecchio,nice_rating,drammatico,francia,6
null,low_rating,null,nice_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
low_rating,good_rating,null,nice_rating,low_rating,DurataLunga,nuovo,nice_rating,spionaggio,gran_bretagna,0
low_rating,good_rating,null,nice_rating,low_rating,durataMedia,vecchio,nice_rating,spionaggio,gran_bretagna,0
good_rating,good_rating,low_rating,top_rating,good_rating,DurataLunga,nuovo,good_rating,spionaggio,gran_bretagna,3
low_rating,nice_rating,low_rating,nice_rating,good_rating,durataMedia,vecchio,good_rating,spionaggio,gran_bretagna,1
good_rating,good_rating,null,nice_rating,low_rating,DurataLunga,vecchio,nice_rating,spionaggio,gran_bretagna,4
low_rating,good_rating,null,good_rating,low_rating,DurataLunga,nuovo,good_rating,spionaggio,gran_bretagna,4
null,nice_rating,null,low_rating,null,cortometraggio,vecchio,low_rating,thriller,usa,2
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,4
null,low_rating,null,low_rating,null,durataMedia,vecchio,low_rating,spionaggio,italia,5
