filmtv_id,titolo_originale,anno,genere,durata,paese,registi,attori,voto_medio,humor,ritmo,impegno,tensione,erotismo
50849,elefante_blanco,2012,drammatico,120,argentina,pablo_trapero,ricardo_darin,7.4,1,3,1,1,1
50856,habitacion_en_roma,2010,drammatico,109,spagna,julio_medem,elena_anaya,3.4,1,0,0,0,2
50857,populaire,2012,commedia,90,francia,regis_roinsard,romain_duris,6.4,3,3,2,2,3
50868,looper,2012,azione,118,usa,rian_johnson,joseph_gordonlevitt,6.8,1,3,2,3,0
50870,jack_reacher,2012,azione,130,usa,christopher_mcquarrie,tom_cruise,6.5,2,3,2,3,1
50873,parental_guidance,2012,commedia,96,usa,andy_fickman,billy_crystal,4.1,1,3,0,0,0
50886,la_via_del_petrolio,1967,documentario,48,italia,bernardo_bertolucci,giulio_bosetti,7.1,0,2,4,0,0
50902,foxfire_confessions_dun_gang_de_filles,2011,drammatico,143,francia,laurent_cantet,rave_adamson,6.1,0,2,2,1,0
50907,night_of_the_sinner,2009,horror,91,italia,alessandro_perrella,robert_englund,5.6,1,1,2,1,1
50911,what_maisie_knew,2012,drammatico,93,usa,scott_mcgehee,julianne_moore,6.8,0,2,2,1,0
50912,passi_nel_giallo_gemelle,2012,thriller,100,italia,roy_bava,daniele_pecci,5.5,0,2,2,2,1
50915,zero_dark_thirty,2012,thriller,157,usa,kathryn_bigelow,jessica_chastain,7.1,0,3,3,3,0
50920,pieta,2012,drammatico,104,corea_del_sud,kim_kiduk,lee_jeongjin,7.3,0,2,3,2,0
50926,la_religieuse,2013,drammatico,114,francia,guillaume_nicloux,pauline_etienne,6.7,1,2,2,2,1
50929,syngue_sabour,2012,drammatico,98,francia,atiq_rahimi,golshifteh_farahani,7.0,1,2,5,3,1
50938,grupo_,2012,azione,92,spagna,alberto_rodriguez,mario_casas,6.6,1,4,3,3,2
50960,a_perdre_la_raison,2012,drammatico,114,francia,joachim_lafosse,niels_arestrup,6.6,0,2,4,3,1
50965,the_we_and_the_i,2012,commedia,98,usa,michel_gondry,michael_brodie,6.9,2,3,3,2,1
50968,quelques_heures_de_printemps,2011,drammatico,108,francia,stephane_brize,vincent_lindon,7.6,0,2,3,0,1
50970,trudno_byt_bogom,2013,fantasy,170,russia,aleksej_german,leonid_yarmolnik,7.3,2,2,3,2,1
50973,dupa_dealuri,2012,drammatico,155,romania,cristian_mungiu,cosmina_stratan,7.4,0,2,3,2,1
50975,kibou_no_koku,2012,drammatico,133,giappone,sion_sono,isao_natsuyagi,7.9,0,1,1,1,0
50977,un_giorno_devi_andare,2013,drammatico,109,italia,giorgio_diritti,jasmine_trinca,6.4,0,1,2,2,1
50989,bachehaye_aseman,1997,avventura,89,iran,majid_majidi,mohammad_amir_naji,6.3,1,2,2,2,0
51011,passione_di_giovanni,2009,sperimentale,115,italia,tonino_de_bernardi,rossella_dassu,5.8,0,2,2,1,0
51012,la_caviglia_di_amelia,1985,drammatico,79,italia,francesco_calogero,amelia_aragona,6.4,0,2,1,1,0
51016,wanpaku_oji_no_orochi_taiji,1963,animazione,86,giappone,yugo_serikawa,morio_kazama,7.3,0,3,0,1,0
51019,man_of_steel,2013,fantasy,135,usa,zack_snyder,henry_cavill,5.6,1,2,2,2,0
51041,only_god_forgives,2013,azione,90,usa,nicolas_winding_refn,ryan_gosling,6.7,0,2,2,2,1
51042,il_peggior_natale_della_mia_vita,2012,commedia,90,italia,alessandro_genovesi,fabio_de_luigi,4.3,2,2,2,0,0
51044,any_day_now,2012,drammatico,97,usa,travis_fine,alan_cumming,6.7,0,2,2,0,0
51049,lola_versus,2012,commedia,89,usa,daryl_wein,greta_gerwig,5.5,2,2,1,0,1
51054,the_lords_of_salem,2012,horror,101,usa,rob_zombie,sheri_moon_zombie,6.7,0,2,2,2,1
51058,welcome_to_the_punch,2013,azione,99,gran_bretagna,eran_creevy,james_mcavoy,5.5,0,3,0,2,0
51070,nekeddo_buraddo_megyaku,1996,horror,76,giappone,hisayasu_sato,misa_aika,6.2,0,2,0,3,2
51074,meeting_evil,2011,thriller,89,usa,chris_fisher,luke_wilson,4.1,0,1,0,0,0
51085,the_magic_of_belle_isle,2012,commedia,109,usa,rob_reiner,morgan_freeman,3.9,1,1,2,1,0
51087,thanks_for_sharing,2012,commedia,110,usa,stuart_blumberg,mark_ruffalo,5.8,2,2,2,1,1
51091,maximum_conviction,2012,azione,98,usa,keoni_waxman,steven_seagal,3.9,1,3,0,1,0
51092,the_longest_week,2014,commedia,86,usa,peter_glanz,olivia_wilde,5.6,1,1,1,0,0
51094,girl_most_likely,2012,commedia,103,usa,shari_springer_berman,kristen_wiig,5.3,2,2,1,0,0
51096,the_frozen_ground,2013,thriller,104,usa,scott_walker,nicolas_cage,5.5,1,3,3,3,1
51098,fire_with_fire,2012,thriller,97,usa,david_barrett,josh_duhamel,4.4,0,2,0,2,0
51100,salvage,2006,horror,80,usa,jeff_crook,lauren_currie_lewis,3.3,0,2,0,2,0
51102,the_company_you_keep,2012,thriller,125,usa,robert_redford,robert_redford,6.4,1,2,3,2,0
51106,seal_team_six_the_raid_on_osama_bin_laden,2012,azione,100,usa,john_stockwell,cam_gigandet,5.0,2,3,3,3,1
51108,arthur_newman,2012,commedia,101,usa,dante_ariola,colin_firth,4.7,1,2,1,0,1
51113,the_babymakers,2012,commedia,98,usa,jay_chandrasekhar,olivia_munn,3.6,1,2,0,0,1
51115,stash_house,2012,thriller,95,usa,eduardo_rodriguez,dolph_lundgren,4.1,0,2,1,2,0
51120,blood,2012,thriller,92,gran_bretagna,nick_murphy,mark_strong,6.3,0,2,3,2,1
51121,the_big_wedding,2013,commedia,90,usa,justin_zackham,robert_de_niro,3.7,1,1,0,0,1
51123,the_iceman,2012,drammatico,98,usa,ariel_vromen,michael_shannon,6.6,0,3,1,4,1
51124,stolen,2012,azione,96,usa,simon_west,nicolas_cage,5.0,0,2,0,1,0
